invoice_id,dtme,tme,payment_method,cogs,gross_margin_pct,gross_income,rating,time_of_day,day_name,month_name
595-11-5460,2019-03-15 0:00:00,10:12:00,Credit card,193.16,4.7619,9.658,5.1,morning,Friday,March
183-56-6882,2019-02-06 0:00:00,10:42:00,Ewallet,397.68,4.7619,19.884,7.5,morning,Wednesday,February
232-16-2483,2019-01-07 0:00:00,12:28:00,Ewallet,68.12,4.7619,3.406,6.8,afternoon,Monday,January
129-29-8530,2019-03-10 0:00:00,19:15:00,Ewallet,313.1,4.7619,15.655,7,evening,Sunday,March
272-65-1806,2019-01-15 0:00:00,17:17:00,Ewallet,547.92,4.7619,27.396,4.7,evening,Tuesday,January
333-73-7901,2019-03-23 0:00:00,13:24:00,Ewallet,439.36,4.7619,21.968,7.6,afternoon,Saturday,March
777-82-7220,2019-03-03 0:00:00,13:01:00,Cash,240.96,4.7619,12.048,7.7,afternoon,Sunday,March
280-35-5823,2019-01-17 0:00:00,18:45:00,Ewallet,86.72,4.7619,4.336,7.9,evening,Thursday,January
554-53-8700,2019-02-02 0:00:00,10:11:00,Cash,112.22,4.7619,5.611,6.3,morning,Saturday,February
354-25-5821,2019-02-08 0:00:00,13:03:00,Cash,414.72,4.7619,20.736,5.6,afternoon,Friday,February
228-96-1411,2019-03-04 0:00:00,20:39:00,Cash,789.6,4.7619,39.48,7.6,evening,Monday,March
617-15-4209,2019-03-16 0:00:00,19:47:00,Cash,30.74,4.7619,1.537,7.2,evening,Saturday,March
132-32-9879,2019-03-09 0:00:00,18:00:00,Cash,375.84,4.7619,18.792,9.5,evening,Saturday,March
370-41-7321,2019-02-27 0:00:00,17:24:00,Credit card,510.21,4.7619,25.5105,8.4,evening,Wednesday,February
727-46-3608,2019-02-06 0:00:00,15:47:00,Ewallet,180.09,4.7619,9.0045,4.1,afternoon,Wednesday,February
669-54-1719,2019-02-10 0:00:00,12:45:00,Credit card,113.58,4.7619,5.679,8.1,afternoon,Sunday,February
574-22-5561,2019-03-19 0:00:00,17:08:00,Ewallet,826.3,4.7619,41.315,7.9,evening,Tuesday,March
326-78-5178,2019-02-03 0:00:00,10:19:00,Cash,639.8,4.7619,31.99,9.5,morning,Sunday,February
162-48-8011,2019-02-10 0:00:00,15:10:00,Cash,222.95,4.7619,11.1475,8.5,afternoon,Sunday,February
616-24-2851,2019-03-22 0:00:00,14:42:00,Ewallet,71.48,4.7619,3.574,6.5,afternoon,Friday,March
778-71-5554,2019-01-25 0:00:00,15:46:00,Credit card,15.43,4.7619,0.7715,6.1,afternoon,Friday,January
242-55-6721,2019-03-07 0:00:00,11:49:00,Ewallet,32.32,4.7619,1.616,6.5,morning,Thursday,March
399-46-5918,2019-02-28 0:00:00,19:01:00,Cash,687.84,4.7619,34.392,8.2,evening,Thursday,February
106-35-6779,2019-03-27 0:00:00,11:26:00,Cash,88.68,4.7619,4.434,5.8,morning,Wednesday,March
635-40-6220,2019-02-07 0:00:00,11:28:00,Ewallet,716.8,4.7619,35.84,6.6,morning,Thursday,February
817-48-8732,2019-01-20 0:00:00,15:55:00,Cash,723.5,4.7619,36.175,5.4,afternoon,Sunday,January
120-06-4233,2019-03-12 0:00:00,20:36:00,Cash,183.66,4.7619,9.183,9.3,evening,Tuesday,March
285-68-5083,2019-02-15 0:00:00,17:47:00,Credit card,74.22,4.7619,3.711,10,evening,Friday,February
803-83-5989,2019-02-24 0:00:00,10:55:00,Ewallet,334.38,4.7619,16.719,7,morning,Sunday,February
347-34-2234,2019-02-03 0:00:00,13:40:00,Ewallet,495.63,4.7619,24.7815,10,afternoon,Sunday,February
199-75-8169,2019-03-06 0:00:00,12:27:00,Credit card,158.1,4.7619,7.905,8.6,afternoon,Wednesday,March
853-23-2453,2019-02-14 0:00:00,14:35:00,Cash,302.96,4.7619,15.148,7.6,afternoon,Thursday,February
877-22-3308,2019-03-13 0:00:00,16:40:00,Cash,158.7,4.7619,7.935,5.8,evening,Wednesday,March
838-78-4295,2019-02-10 0:00:00,15:43:00,Ewallet,66.94,4.7619,3.347,6.7,afternoon,Sunday,February
109-28-2512,2019-01-07 0:00:00,15:01:00,Ewallet,585.66,4.7619,29.283,9.9,afternoon,Monday,January
232-11-3025,2019-01-24 0:00:00,10:04:00,Cash,787.7,4.7619,39.385,6.4,morning,Thursday,January
382-03-4532,2019-02-02 0:00:00,18:50:00,Cash,18.33,4.7619,0.9165,4.3,evening,Saturday,February
393-65-2792,2019-01-06 0:00:00,12:46:00,Credit card,894.8,4.7619,44.74,9.6,afternoon,Sunday,January
796-12-2025,2019-02-11 0:00:00,16:19:00,Cash,621.2,4.7619,31.06,5.9,evening,Monday,February
510-95-6347,2019-03-05 0:00:00,18:17:00,Ewallet,145.56,4.7619,7.278,4,evening,Tuesday,March
841-35-6630,2019-03-09 0:00:00,18:21:00,Cash,455.46,4.7619,22.773,8.7,evening,Saturday,March
287-21-9091,2019-01-22 0:00:00,10:55:00,Ewallet,672.03,4.7619,33.6015,9.4,morning,Tuesday,January
732-94-0499,2019-01-13 0:00:00,17:04:00,Credit card,416.5,4.7619,20.825,5.4,evening,Sunday,January
263-10-3913,2019-01-09 0:00:00,14:20:00,Credit card,441.36,4.7619,22.068,8.6,afternoon,Wednesday,January
381-20-0914,2019-01-12 0:00:00,15:48:00,Credit card,180.09,4.7619,9.0045,5.7,afternoon,Saturday,January
829-49-1914,2019-03-05 0:00:00,16:24:00,Ewallet,783.1,4.7619,39.155,6.6,evening,Tuesday,March
756-01-7507,2019-01-22 0:00:00,18:56:00,Cash,101.9,4.7619,5.095,6,evening,Tuesday,January
870-72-4431,2019-01-21 0:00:00,14:42:00,Credit card,595.14,4.7619,29.757,5.5,afternoon,Monday,January
847-38-7188,2019-01-26 0:00:00,19:56:00,Ewallet,290.04,4.7619,14.502,6.4,evening,Saturday,January
480-63-2856,2019-01-23 0:00:00,18:37:00,Ewallet,154,4.7619,7.7,6.6,evening,Wednesday,January
787-56-0757,2019-02-23 0:00:00,18:45:00,Credit card,321.44,4.7619,16.072,8.3,evening,Saturday,February
360-39-5055,2019-03-09 0:00:00,10:17:00,Cash,244.55,4.7619,12.2275,6.6,morning,Saturday,March
730-50-9884,2019-03-05 0:00:00,14:31:00,Ewallet,581.42,4.7619,29.071,4,afternoon,Tuesday,March
362-58-8315,2019-03-25 0:00:00,10:23:00,Cash,382.6,4.7619,19.13,9.9,morning,Monday,March
633-44-8566,2019-03-27 0:00:00,20:35:00,Credit card,345.66,4.7619,17.283,7.3,evening,Wednesday,March
504-35-8843,2019-01-02 0:00:00,16:57:00,Cash,42.47,4.7619,2.1235,5.7,evening,Wednesday,January
318-68-5053,2019-02-27 0:00:00,17:55:00,Cash,461.94,4.7619,23.097,6.1,evening,Wednesday,February
565-80-5980,2019-01-23 0:00:00,10:25:00,Cash,189.52,4.7619,9.476,7.1,morning,Wednesday,January
225-32-0908,2019-01-26 0:00:00,19:54:00,Ewallet,448.6,4.7619,22.43,8.2,evening,Saturday,January
873-51-0671,2019-01-10 0:00:00,16:42:00,Ewallet,153.86,4.7619,7.693,5.1,evening,Thursday,January
152-08-9985,2019-03-12 0:00:00,12:09:00,Credit card,579.24,4.7619,28.962,8.6,afternoon,Tuesday,March
512-91-0811,2019-02-06 0:00:00,20:05:00,Credit card,89.75,4.7619,4.4875,6.6,evening,Wednesday,February
594-34-4444,2019-03-08 0:00:00,20:38:00,Ewallet,97.16,4.7619,4.858,7.2,evening,Friday,March
766-85-7061,2019-03-29 0:00:00,10:25:00,Ewallet,878.7,4.7619,43.935,5.1,morning,Friday,March
871-39-9221,2019-02-09 0:00:00,13:11:00,Cash,74.7,4.7619,3.735,4.1,afternoon,Saturday,February
865-92-6136,2019-03-23 0:00:00,10:16:00,Ewallet,158.25,4.7619,7.9125,9.3,morning,Saturday,March
733-01-9107,2019-03-05 0:00:00,18:14:00,Cash,496.2,4.7619,24.81,7.4,evening,Tuesday,March
163-56-7055,2019-03-26 0:00:00,19:20:00,Cash,48.71,4.7619,2.4355,4.1,evening,Tuesday,March
189-98-2939,2019-03-01 0:00:00,13:22:00,Cash,706.95,4.7619,35.3475,7.2,afternoon,Friday,March
551-21-3069,2019-02-01 0:00:00,11:27:00,Cash,207.63,4.7619,10.3815,4.9,morning,Friday,February
212-62-1842,2019-03-28 0:00:00,16:44:00,Cash,349.56,4.7619,17.478,9.9,evening,Thursday,March
716-39-1409,2019-03-19 0:00:00,18:19:00,Cash,212.45,4.7619,10.6225,8,evening,Tuesday,March
704-48-3927,2019-01-12 0:00:00,14:50:00,Ewallet,886.7,4.7619,44.335,7.3,afternoon,Saturday,January
628-34-3388,2019-01-05 0:00:00,20:54:00,Credit card,164.28,4.7619,8.214,7.9,evening,Saturday,January
630-74-5166,2019-03-22 0:00:00,20:19:00,Cash,372.78,4.7619,18.639,7.4,evening,Friday,March
588-01-7461,2019-03-24 0:00:00,10:43:00,Cash,305.82,4.7619,15.291,4.2,morning,Sunday,March
861-77-0145,2019-03-03 0:00:00,14:30:00,Cash,819.7,4.7619,40.985,9.2,afternoon,Sunday,March
479-26-8945,2019-02-05 0:00:00,11:32:00,Ewallet,32.98,4.7619,1.649,4.6,morning,Tuesday,February
210-67-5886,2019-02-05 0:00:00,10:41:00,Credit card,294.63,4.7619,14.7315,7.8,morning,Tuesday,February
227-78-1148,2019-02-15 0:00:00,12:44:00,Cash,509.88,4.7619,25.494,8.4,afternoon,Friday,February
645-44-1170,2019-01-19 0:00:00,20:07:00,Ewallet,522.63,4.7619,26.1315,4.3,evening,Saturday,January
237-01-6122,2019-02-01 0:00:00,20:31:00,Credit card,727.11,4.7619,36.3555,9.5,evening,Friday,February
225-98-1496,2019-03-02 0:00:00,13:01:00,Credit card,81.06,4.7619,4.053,7.1,afternoon,Saturday,March
291-32-1427,2019-03-05 0:00:00,12:29:00,Ewallet,109.7,4.7619,5.485,5.3,afternoon,Tuesday,March
659-65-8956,2019-01-16 0:00:00,15:26:00,Ewallet,51.36,4.7619,2.568,5.2,afternoon,Wednesday,January
642-32-2990,2019-02-02 0:00:00,20:48:00,Ewallet,109.6,4.7619,5.48,6,evening,Saturday,February
378-24-2715,2019-01-20 0:00:00,20:38:00,Ewallet,106.88,4.7619,5.344,4.1,evening,Sunday,January
638-60-7125,2019-02-14 0:00:00,17:03:00,Credit card,796.48,4.7619,39.824,5.2,evening,Thursday,February
659-36-1684,2019-01-12 0:00:00,12:02:00,Credit card,399.84,4.7619,19.992,6.5,afternoon,Saturday,January
219-22-9386,2019-03-09 0:00:00,17:26:00,Credit card,899.64,4.7619,44.982,4.2,evening,Saturday,March
336-78-2147,2019-03-13 0:00:00,19:52:00,Credit card,511.28,4.7619,25.564,4.6,evening,Wednesday,March
268-27-6179,2019-03-09 0:00:00,14:57:00,Ewallet,451.76,4.7619,22.588,7.3,afternoon,Saturday,March
668-90-8900,2019-03-10 0:00:00,18:44:00,Credit card,655.83,4.7619,32.7915,4.5,evening,Sunday,March
870-54-3162,2019-01-27 0:00:00,13:26:00,Cash,161.25,4.7619,8.0625,9,afternoon,Sunday,January
189-08-9157,2019-01-08 0:00:00,16:17:00,Credit card,285.57,4.7619,14.2785,5.9,evening,Tuesday,January
663-86-9076,2019-01-08 0:00:00,15:57:00,Ewallet,548.32,4.7619,27.416,8.5,afternoon,Tuesday,January
549-84-7482,2019-02-08 0:00:00,11:15:00,Ewallet,812.52,4.7619,40.626,7.2,morning,Friday,February
191-10-6171,2019-01-25 0:00:00,13:18:00,Cash,277.34,4.7619,13.867,7.5,afternoon,Friday,January
802-70-5316,2019-03-06 0:00:00,20:34:00,Cash,552.78,4.7619,27.639,8.3,evening,Wednesday,March
695-51-0018,2019-02-10 0:00:00,18:36:00,Cash,139.36,4.7619,6.968,7.4,evening,Sunday,February
590-83-4591,2019-02-17 0:00:00,14:40:00,Credit card,524.7,4.7619,26.235,8.8,afternoon,Sunday,February
483-71-1164,2019-03-08 0:00:00,16:43:00,Ewallet,487.8,4.7619,24.39,5.3,evening,Friday,March
597-78-7908,2019-02-18 0:00:00,19:39:00,Cash,270.66,4.7619,13.533,6.2,evening,Monday,February
700-81-1757,2019-01-18 0:00:00,20:59:00,Credit card,131.55,4.7619,6.5775,8.8,evening,Friday,January
354-39-5160,2019-02-18 0:00:00,15:39:00,Cash,206.52,4.7619,10.326,9.8,afternoon,Monday,February
241-72-9525,2019-02-16 0:00:00,12:21:00,Cash,519.1,4.7619,25.955,8.2,afternoon,Saturday,February
575-30-8091,2019-03-16 0:00:00,19:25:00,Ewallet,580,4.7619,29,9.2,evening,Saturday,March
731-81-9469,2019-01-23 0:00:00,13:00:00,Credit card,898,4.7619,44.9,5.4,afternoon,Wednesday,January
280-17-4359,2019-01-25 0:00:00,13:48:00,Cash,905,4.7619,45.25,8.1,afternoon,Friday,January
338-65-2210,2019-02-05 0:00:00,19:57:00,Cash,686,4.7619,34.3,9.1,evening,Tuesday,February
488-25-4221,2019-02-22 0:00:00,10:36:00,Credit card,30.41,4.7619,1.5205,8.4,morning,Friday,February
239-10-7476,2019-01-21 0:00:00,16:37:00,Ewallet,467.7,4.7619,23.385,8,evening,Monday,January
458-41-1477,2019-03-08 0:00:00,17:11:00,Credit card,277.56,4.7619,13.878,9.5,evening,Friday,March
685-64-1609,2019-02-10 0:00:00,12:28:00,Ewallet,301.4,4.7619,15.07,9.2,afternoon,Sunday,February
568-90-5112,2019-03-19 0:00:00,12:46:00,Credit card,264.56,4.7619,13.228,5.6,afternoon,Tuesday,March
262-47-2794,2019-03-06 0:00:00,15:07:00,Credit card,574.88,4.7619,28.744,6.2,afternoon,Wednesday,March
238-49-0436,2019-03-27 0:00:00,13:48:00,Credit card,259.68,4.7619,12.984,4.9,afternoon,Wednesday,March
608-96-3517,2019-03-23 0:00:00,19:20:00,Credit card,366.16,4.7619,18.308,4.8,evening,Saturday,March
584-86-7256,2019-03-11 0:00:00,16:07:00,Credit card,241.92,4.7619,12.096,7.3,evening,Monday,March
746-94-0204,2019-01-29 0:00:00,11:56:00,Credit card,749.16,4.7619,37.458,7.4,morning,Tuesday,January
214-17-6927,2019-02-07 0:00:00,18:23:00,Ewallet,98.88,4.7619,4.944,9.9,evening,Thursday,February
400-89-4171,2019-01-28 0:00:00,13:05:00,Cash,647.76,4.7619,32.388,9.3,afternoon,Monday,January
782-95-9291,2019-02-20 0:00:00,15:55:00,Credit card,461.45,4.7619,23.0725,9,afternoon,Wednesday,February
279-74-2924,2019-01-04 0:00:00,19:40:00,Cash,72.17,4.7619,3.6085,6.1,evening,Friday,January
307-85-2293,2019-03-07 0:00:00,13:58:00,Ewallet,251.4,4.7619,12.57,9.7,afternoon,Thursday,March
743-04-1105,2019-03-30 0:00:00,14:43:00,Ewallet,874.98,4.7619,43.749,6,afternoon,Saturday,March
423-57-2993,2019-03-27 0:00:00,19:18:00,Ewallet,560.34,4.7619,28.017,10,evening,Wednesday,March
894-41-5205,2019-01-19 0:00:00,19:39:00,Credit card,345.44,4.7619,17.272,8.3,evening,Saturday,January
275-28-0149,2019-02-25 0:00:00,16:21:00,Cash,63.69,4.7619,3.1845,6,evening,Monday,February
101-17-6199,2019-03-13 0:00:00,19:44:00,Credit card,320.53,4.7619,16.0265,7,evening,Wednesday,March
423-80-0988,2019-01-30 0:00:00,19:42:00,Ewallet,152.8,4.7619,7.64,6.5,evening,Wednesday,January
548-46-9322,2019-02-20 0:00:00,15:24:00,Credit card,399,4.7619,19.95,5.9,afternoon,Wednesday,February
505-02-0892,2019-02-25 0:00:00,14:12:00,Ewallet,340.56,4.7619,17.028,5.6,afternoon,Monday,February
234-65-2137,2019-01-16 0:00:00,13:32:00,Cash,955.8,4.7619,47.79,4.8,afternoon,Wednesday,January
687-47-8271,2019-02-08 0:00:00,16:20:00,Credit card,989.8,4.7619,49.49,8.7,evening,Friday,February
796-32-9050,2019-01-19 0:00:00,16:31:00,Cash,307.68,4.7619,15.384,6.5,evening,Saturday,January
105-31-1824,2019-02-01 0:00:00,15:10:00,Credit card,486.64,4.7619,24.332,8.5,afternoon,Friday,February
249-42-3782,2019-01-03 0:00:00,11:36:00,Ewallet,350.05,4.7619,17.5025,5.5,morning,Thursday,January
316-55-4634,2019-01-26 0:00:00,12:45:00,Credit card,400.25,4.7619,20.0125,9.4,afternoon,Saturday,January
733-33-4967,2019-03-03 0:00:00,19:17:00,Cash,166.8,4.7619,8.34,6.3,evening,Sunday,March
608-27-6295,2019-01-19 0:00:00,17:34:00,Credit card,317.34,4.7619,15.867,9.8,evening,Saturday,January
414-12-7047,2019-01-18 0:00:00,12:04:00,Ewallet,158.32,4.7619,7.916,8.7,afternoon,Friday,January
827-26-2100,2019-03-21 0:00:00,16:21:00,Ewallet,304.56,4.7619,15.228,8.8,evening,Thursday,March
175-54-2529,2019-03-03 0:00:00,17:01:00,Credit card,177.36,4.7619,8.868,9.6,evening,Sunday,March
139-52-2867,2019-02-13 0:00:00,10:50:00,Credit card,157.57,4.7619,7.8785,4.8,morning,Wednesday,February
407-63-8975,2019-03-23 0:00:00,19:16:00,Ewallet,443.28,4.7619,22.164,4.4,evening,Saturday,March
342-65-4817,2019-01-28 0:00:00,16:47:00,Ewallet,260.4,4.7619,13.02,9.9,evening,Monday,January
130-98-8941,2019-02-09 0:00:00,10:00:00,Cash,449.82,4.7619,22.491,5.7,morning,Saturday,February
434-83-9547,2019-01-23 0:00:00,11:51:00,Cash,307.76,4.7619,15.388,7.7,morning,Wednesday,January
851-28-6367,2019-03-23 0:00:00,10:55:00,Ewallet,155,4.7619,7.75,8,morning,Saturday,March
824-88-3614,2019-01-25 0:00:00,15:00:00,Ewallet,274.48,4.7619,13.724,5.7,afternoon,Friday,January
586-25-0848,2019-03-04 0:00:00,11:19:00,Credit card,86.38,4.7619,4.319,6.7,morning,Monday,March
895-66-0685,2019-03-05 0:00:00,19:46:00,Ewallet,54.24,4.7619,2.712,8,evening,Tuesday,March
305-14-0245,2019-03-03 0:00:00,19:00:00,Ewallet,755.92,4.7619,37.796,7.5,evening,Sunday,March
732-04-5373,2019-02-08 0:00:00,10:53:00,Cash,185.88,4.7619,9.294,7,morning,Friday,February
400-60-7251,2019-02-10 0:00:00,12:50:00,Ewallet,74.07,4.7619,3.7035,9.9,afternoon,Sunday,February
593-65-1552,2019-01-28 0:00:00,20:50:00,Credit card,279.24,4.7619,13.962,5.9,evening,Monday,January
284-34-9626,2019-02-11 0:00:00,10:39:00,Credit card,231.12,4.7619,11.556,7.2,morning,Monday,February
437-58-8131,2019-01-15 0:00:00,13:41:00,Ewallet,147.04,4.7619,7.352,4.6,afternoon,Tuesday,January
286-43-6208,2019-03-16 0:00:00,19:08:00,Cash,790.2,4.7619,39.51,9.2,evening,Saturday,March
641-43-2399,2019-01-26 0:00:00,20:23:00,Ewallet,102.2,4.7619,5.11,5.7,evening,Saturday,January
831-07-6050,2019-03-19 0:00:00,11:30:00,Credit card,163.55,4.7619,8.1775,9.9,morning,Tuesday,March
556-86-3144,2019-01-13 0:00:00,19:30:00,Cash,74.29,4.7619,3.7145,5,evening,Sunday,January
848-24-9445,2019-03-26 0:00:00,18:03:00,Cash,87.4,4.7619,4.37,4.9,evening,Tuesday,March
856-22-8149,2019-03-23 0:00:00,10:13:00,Ewallet,25.29,4.7619,1.2645,6.1,morning,Saturday,March
699-01-4164,2019-03-12 0:00:00,19:58:00,Credit card,166,4.7619,8.3,8.2,evening,Tuesday,March
420-11-4919,2019-02-17 0:00:00,19:57:00,Credit card,356.95,4.7619,17.8475,5.5,evening,Sunday,February
606-80-4905,2019-01-29 0:00:00,10:01:00,Credit card,114.9,4.7619,5.745,6.8,morning,Tuesday,January
542-41-0513,2019-03-15 0:00:00,11:57:00,Cash,229.96,4.7619,11.498,6.6,morning,Friday,March
426-39-2418,2019-01-14 0:00:00,10:02:00,Cash,429.87,4.7619,21.4935,9.8,morning,Monday,January
875-46-5808,2019-02-06 0:00:00,14:51:00,Ewallet,259,4.7619,12.95,8.7,afternoon,Wednesday,February
394-43-4238,2019-02-15 0:00:00,12:42:00,Credit card,88.85,4.7619,4.4425,5.4,afternoon,Friday,February
749-24-1565,2019-01-03 0:00:00,12:02:00,Ewallet,207.27,4.7619,10.3635,7.9,afternoon,Thursday,January
672-51-8681,2019-01-04 0:00:00,18:19:00,Credit card,599.85,4.7619,29.9925,9.7,evening,Friday,January
263-87-5680,2019-03-18 0:00:00,17:38:00,Ewallet,285.3,4.7619,14.265,7.8,evening,Monday,March
573-58-9734,2019-03-28 0:00:00,13:41:00,Ewallet,91.11,4.7619,4.5555,5.1,afternoon,Thursday,March
817-69-8206,2019-03-02 0:00:00,19:42:00,Credit card,897.57,4.7619,44.8785,6.5,evening,Saturday,March
888-02-0338,2019-01-25 0:00:00,20:24:00,Ewallet,236.07,4.7619,11.8035,5.9,evening,Friday,January
677-11-0152,2019-01-16 0:00:00,18:08:00,Cash,839.34,4.7619,41.967,8.8,evening,Wednesday,January
142-63-6033,2019-03-20 0:00:00,19:17:00,Ewallet,461.8,4.7619,23.09,4.9,evening,Wednesday,March
656-16-1063,2019-01-04 0:00:00,13:24:00,Credit card,139.26,4.7619,6.963,4.4,afternoon,Friday,January
891-58-8335,2019-03-11 0:00:00,15:53:00,Cash,207.27,4.7619,10.3635,6.5,afternoon,Monday,March
802-43-8934,2019-03-22 0:00:00,15:05:00,Credit card,18.28,4.7619,0.914,8.3,afternoon,Friday,March
560-30-5617,2019-03-24 0:00:00,18:27:00,Cash,123.85,4.7619,6.1925,8.5,evening,Sunday,March
319-74-2561,2019-02-21 0:00:00,16:55:00,Cash,283.92,4.7619,14.196,5.5,evening,Thursday,February
549-03-9315,2019-02-12 0:00:00,12:58:00,Ewallet,758.96,4.7619,37.948,8.7,afternoon,Tuesday,February
790-29-1172,2019-03-10 0:00:00,18:59:00,Credit card,172.02,4.7619,8.601,7.9,evening,Sunday,March
239-36-3640,2019-01-31 0:00:00,13:44:00,Ewallet,272.1,4.7619,13.605,6.1,afternoon,Thursday,January
468-01-2051,2019-03-06 0:00:00,13:46:00,Ewallet,434.56,4.7619,21.728,5.4,afternoon,Wednesday,March
389-25-3394,2019-02-17 0:00:00,18:06:00,Cash,59.05,4.7619,2.9525,9.4,evening,Sunday,February
279-62-1445,2019-02-21 0:00:00,12:38:00,Cash,12.54,4.7619,0.627,8.2,afternoon,Thursday,February
213-72-6612,2019-03-20 0:00:00,15:56:00,Cash,86.5,4.7619,4.325,6.2,afternoon,Wednesday,March
746-68-6593,2019-01-11 0:00:00,14:29:00,Credit card,174.32,4.7619,8.716,9.7,afternoon,Friday,January
836-82-5858,2019-01-26 0:00:00,19:14:00,Ewallet,624.33,4.7619,31.2165,4,evening,Saturday,January
583-72-1480,2019-01-31 0:00:00,16:24:00,Ewallet,148.24,4.7619,7.412,9.7,evening,Thursday,January
466-61-5506,2019-02-26 0:00:00,10:52:00,Cash,544.2,4.7619,27.21,5.3,morning,Tuesday,February
721-86-6247,2019-03-11 0:00:00,12:55:00,Ewallet,507.36,4.7619,25.368,7.4,afternoon,Monday,March
289-65-5721,2019-01-26 0:00:00,19:28:00,Cash,162.74,4.7619,8.137,6.5,evening,Saturday,January
545-46-3100,2019-03-12 0:00:00,13:52:00,Credit card,31.77,4.7619,1.5885,8.7,afternoon,Tuesday,March
418-02-5978,2019-02-11 0:00:00,10:54:00,Cash,756.81,4.7619,37.8405,8,morning,Monday,February
269-04-5750,2019-02-21 0:00:00,18:31:00,Cash,295.28,4.7619,14.764,6.7,evening,Thursday,February
157-13-5295,2019-03-09 0:00:00,18:24:00,Ewallet,519.4,4.7619,25.97,6.5,evening,Saturday,March
645-78-8093,2019-01-20 0:00:00,18:09:00,Ewallet,186.28,4.7619,9.314,4.1,evening,Sunday,January
